article_url,title,publish_date,week_label,collect_date,hog_price,hog_price_unit,corn_price,corn_price_unit,soymeal_price,soymeal_price_unit,piglet_price,piglet_price_unit,mixed_feed_price,mixed_feed_price_unit,parsing_method,raw_text_path,raw_html_path,validation_flag,validation_notes
https://www.agri.cn/sj/jcyj/202506/t20250617_8741994.htm,6月第2周畜产品和饲料集贸市场价格情况,2025-06-17,6月第2周,,14.58,元/公斤,2.46,元/公斤,3.37,元/公斤,37.58,元/公斤,3.4,元/公斤,table,data/raw/agri_weekly_articles/article_text/2025-06-17_t20250617_8741994.txt,data/raw/agri_weekly_articles/article_html/2025-06-17_t20250617_8741994.html,ok,collect_date_missing
https://www.agri.cn/sj/jcyj/202506/t20250610_8739911.htm,6月第1周畜产品和饲料集贸市场价格情况,2025-06-10,6月第1周,,14.78,元/公斤,2.46,元/公斤,3.4,元/公斤,38.19,元/公斤,3.4,元/公斤,table,data/raw/agri_weekly_articles/article_text/2025-06-10_t20250610_8739911.txt,data/raw/agri_weekly_articles/article_html/2025-06-10_t20250610_8739911.html,ok,collect_date_missing
https://www.agri.cn/sj/jcyj/202506/t20250604_8738509.htm,5月第4周畜产品和饲料集贸市场价格情况,2025-06-03,5月第4周,,14.84,元/公斤,2.45,元/公斤,3.46,元/公斤,38.63,元/公斤,3.41,元/公斤,table,data/raw/agri_weekly_articles/article_text/2025-06-03_t20250604_8738509.txt,data/raw/agri_weekly_articles/article_html/2025-06-03_t20250604_8738509.html,ok,collect_date_missing
https://www.agri.cn/sj/jcyj/202505/t20250528_8736862.htm,5月第3周畜产品和饲料集贸市场价格情况,2025-05-27,5月第3周,,14.93,元/公斤,2.45,元/公斤,3.51,元/公斤,39.01,元/公斤,3.42,元/公斤,table,data/raw/agri_weekly_articles/article_text/2025-05-27_t20250528_8736862.txt,data/raw/agri_weekly_articles/article_html/2025-05-27_t20250528_8736862.html,ok,collect_date_missing
https://www.agri.cn/sj/jcyj/202505/t20250528_8736861.htm,5月第2周畜产品和饲料集贸市场价格情况,2025-05-20,5月第2周,,15.09,元/公斤,2.43,元/公斤,3.61,元/公斤,39.35,元/公斤,3.43,元/公斤,table,data/raw/agri_weekly_articles/article_text/2025-05-20_t20250528_8736861.txt,data/raw/agri_weekly_articles/article_html/2025-05-20_t20250528_8736861.html,ok,collect_date_missing
https://www.agri.cn/sj/jcyj/202505/t20250514_8733449.htm,5月第1周畜产品和饲料集贸市场价格情况,2025-05-13,5月第1周,,15.17,元/公斤,2.42,元/公斤,3.69,元/公斤,39.57,元/公斤,3.43,元/公斤,table,data/raw/agri_weekly_articles/article_text/2025-05-13_t20250514_8733449.txt,data/raw/agri_weekly_articles/article_html/2025-05-13_t20250514_8733449.html,ok,collect_date_missing
https://www.agri.cn/sj/jcyj/202505/t20250508_8731631.htm,4月第5周畜产品和饲料集贸市场价格情况,2025-05-07,4月第5周,,15.22,元/公斤,2.4,元/公斤,3.77,元/公斤,39.52,元/公斤,3.43,元/公斤,table,data/raw/agri_weekly_articles/article_text/2025-05-07_t20250508_8731631.txt,data/raw/agri_weekly_articles/article_html/2025-05-07_t20250508_8731631.html,ok,collect_date_missing
https://www.agri.cn/sj/jcyj/202504/t20250429_8729932.htm,4月第4周畜产品和饲料集贸市场价格情况,2025-04-29,4月第4周,,15.29,元/公斤,2.38,元/公斤,3.7,元/公斤,39.48,元/公斤,3.41,元/公斤,table,data/raw/agri_weekly_articles/article_text/2025-04-29_t20250429_8729932.txt,data/raw/agri_weekly_articles/article_html/2025-04-29_t20250429_8729932.html,ok,collect_date_missing
https://www.agri.cn/sj/jcyj/202504/t20250423_8727988.htm,4月第3周畜产品和饲料集贸市场价格情况,2025-04-22,4月第3周,,15.22,元/公斤,2.38,元/公斤,3.61,元/公斤,39.2,元/公斤,3.4,元/公斤,table,data/raw/agri_weekly_articles/article_text/2025-04-22_t20250423_8727988.txt,data/raw/agri_weekly_articles/article_html/2025-04-22_t20250423_8727988.html,ok,collect_date_missing
https://www.agri.cn/sj/jcyj/202504/t20250402_8723398.htm,3月第4周畜产品和饲料集贸市场价格情况,2025-04-01,3月第4周,,15.21,元/公斤,2.36,元/公斤,3.6,元/公斤,38.09,元/公斤,3.41,元/公斤,table,data/raw/agri_weekly_articles/article_text/2025-04-01_t20250402_8723398.txt,data/raw/agri_weekly_articles/article_html/2025-04-01_t20250402_8723398.html,ok,collect_date_missing
https://www.agri.cn/sj/jcyj/202503/t20250325_8721142.htm,3月第3周畜产品和饲料集贸市场价格情况,2025-03-25,3月第3周,,15.35,元/公斤,2.35,元/公斤,3.69,元/公斤,37.43,元/公斤,3.42,元/公斤,table,data/raw/agri_weekly_articles/article_text/2025-03-25_t20250325_8721142.txt,data/raw/agri_weekly_articles/article_html/2025-03-25_t20250325_8721142.html,ok,collect_date_missing
https://www.agri.cn/sj/jcyj/202503/t20250320_8720085.htm,3月第2周畜产品和饲料集贸市场价格情况,2025-03-18,3月第2周,,15.39,元/公斤,2.34,元/公斤,3.74,元/公斤,36.9,元/公斤,3.43,元/公斤,table,data/raw/agri_weekly_articles/article_text/2025-03-18_t20250320_8720085.txt,data/raw/agri_weekly_articles/article_html/2025-03-18_t20250320_8720085.html,ok,collect_date_missing
https://www.agri.cn/sj/jcyj/202503/t20250312_8717854.htm,3月第1周畜产品和饲料集贸市场价格情况,2025-03-11,3月第1周,,15.47,元/公斤,2.33,元/公斤,3.76,元/公斤,36.55,元/公斤,3.42,元/公斤,table,data/raw/agri_weekly_articles/article_text/2025-03-11_t20250312_8717854.txt,data/raw/agri_weekly_articles/article_html/2025-03-11_t20250312_8717854.html,ok,collect_date_missing
https://www.agri.cn/sj/jcyj/202503/t20250306_8716826.htm,2月第4周畜产品和饲料集贸市场价格情况,2025-03-04,2月第4周,,15.62,元/公斤,2.31,元/公斤,3.72,元/公斤,36.5,元/公斤,3.4,元/公斤,table,data/raw/agri_weekly_articles/article_text/2025-03-04_t20250306_8716826.txt,data/raw/agri_weekly_articles/article_html/2025-03-04_t20250306_8716826.html,ok,collect_date_missing
https://www.agri.cn/sj/jcyj/202502/t20250226_8714927.htm,2月第3周畜产品和饲料集贸市场价格情况,2025-02-25,2月第3周,,15.79,元/公斤,2.3,元/公斤,3.66,元/公斤,36.52,元/公斤,3.39,元/公斤,table,data/raw/agri_weekly_articles/article_text/2025-02-25_t20250226_8714927.txt,data/raw/agri_weekly_articles/article_html/2025-02-25_t20250226_8714927.html,ok,collect_date_missing; kept_latest_duplicate_week
https://www.agri.cn/sj/jcyj/202502/t20250219_8713303.htm,2月第2周畜产品和饲料集贸市场价格情况,2025-02-18,2月第2周,,15.94,元/公斤,2.29,元/公斤,3.57,元/公斤,36.25,元/公斤,3.37,元/公斤,table,data/raw/agri_weekly_articles/article_text/2025-02-18_t20250219_8713303.txt,data/raw/agri_weekly_articles/article_html/2025-02-18_t20250219_8713303.html,ok,collect_date_missing
https://www.agri.cn/sj/jcyj/202502/t20250213_8711889.htm,2月第1周畜产品和饲料集贸市场价格情况,2025-02-11,2月第1周,,16.64,元/公斤,2.27,元/公斤,3.35,元/公斤,35.55,元/公斤,3.34,元/公斤,table,data/raw/agri_weekly_articles/article_text/2025-02-11_t20250213_8711889.txt,data/raw/agri_weekly_articles/article_html/2025-02-11_t20250213_8711889.html,ok,collect_date_missing
https://www.agri.cn/sj/jcyj/202501/t20250127_8708786.htm,1月第4周畜产品和饲料集贸市场价格情况,2025-01-27,1月第4周,,16.48,元/公斤,2.27,元/公斤,3.3,元/公斤,34.71,元/公斤,3.34,元/公斤,table,data/raw/agri_weekly_articles/article_text/2025-01-27_t20250127_8708786.txt,data/raw/agri_weekly_articles/article_html/2025-01-27_t20250127_8708786.html,ok,collect_date_missing
https://www.agri.cn/sj/jcyj/202501/t20250116_8706559.htm,1月第2周畜产品和饲料集贸市场价格情况,2025-01-14,1月第2周,,16.68,元/公斤,2.28,元/公斤,3.22,元/公斤,33.31,元/公斤,3.35,元/公斤,table,data/raw/agri_weekly_articles/article_text/2025-01-14_t20250116_8706559.txt,data/raw/agri_weekly_articles/article_html/2025-01-14_t20250116_8706559.html,ok,collect_date_missing
https://www.agri.cn/sj/jcyj/202501/t20250109_8704675.htm,1月第1周畜产品和饲料集贸市场价格情况,2025-01-07,1月第1周,,16.57,元/公斤,2.29,元/公斤,3.23,元/公斤,32.77,元/公斤,3.35,元/公斤,table,data/raw/agri_weekly_articles/article_text/2025-01-07_t20250109_8704675.txt,data/raw/agri_weekly_articles/article_html/2025-01-07_t20250109_8704675.html,ok,collect_date_missing
https://www.agri.cn/sj/jcyj/202501/t20250102_8703076.htm,12月第4周畜产品和饲料集贸市场价格情况,2024-12-31,12月第4周,,16.44,元/公斤,2.3,元/公斤,3.23,元/公斤,32.72,元/公斤,3.36,元/公斤,table,data/raw/agri_weekly_articles/article_text/2024-12-31_t20250102_8703076.txt,data/raw/agri_weekly_articles/article_html/2024-12-31_t20250102_8703076.html,ok,collect_date_missing; kept_latest_duplicate_week
https://www.agri.cn/sj/jcyj/202412/t20241226_8701825.htm,12月第3周畜产品和饲料集贸市场价格情况,2024-12-24,12月第3周,,16.56,元/公斤,2.31,元/公斤,3.26,元/公斤,32.95,元/公斤,3.36,元/公斤,table,data/raw/agri_weekly_articles/article_text/2024-12-24_t20241226_8701825.txt,data/raw/agri_weekly_articles/article_html/2024-12-24_t20241226_8701825.html,ok,collect_date_missing
https://www.agri.cn/sj/jcyj/202412/t20241218_8699866.htm,12月第2周畜产品和饲料集贸市场价格情况,2024-12-17,12月第2周,,16.65,元/公斤,2.32,元/公斤,3.28,元/公斤,33.33,元/公斤,3.37,元/公斤,table,data/raw/agri_weekly_articles/article_text/2024-12-17_t20241218_8699866.txt,data/raw/agri_weekly_articles/article_html/2024-12-17_t20241218_8699866.html,ok,collect_date_missing
https://www.agri.cn/sj/jcyj/202412/t20241211_8698026.htm,12月第1周畜产品和饲料集贸市场价格情况,2024-12-10,12月第1周,,16.92,元/公斤,2.34,元/公斤,3.31,元/公斤,33.67,元/公斤,3.38,元/公斤,table,data/raw/agri_weekly_articles/article_text/2024-12-10_t20241211_8698026.txt,data/raw/agri_weekly_articles/article_html/2024-12-10_t20241211_8698026.html,ok,collect_date_missing
https://www.agri.cn/sj/jcyj/202412/t20241204_8695616.htm,11月第4周畜产品和饲料集贸市场价格情况,2024-12-03,11月第4周,,17.1,元/公斤,2.34,元/公斤,3.33,元/公斤,34.01,元/公斤,3.38,元/公斤,table,data/raw/agri_weekly_articles/article_text/2024-12-03_t20241204_8695616.txt,data/raw/agri_weekly_articles/article_html/2024-12-03_t20241204_8695616.html,ok,collect_date_missing
https://www.agri.cn/sj/jcyj/202411/t20241127_8693315.htm,11月第3周畜产品和饲料集贸市场价格情况,2024-11-26,11月第3周,,17.02,元/公斤,2.35,元/公斤,3.35,元/公斤,34.11,元/公斤,3.39,元/公斤,table,data/raw/agri_weekly_articles/article_text/2024-11-26_t20241127_8693315.txt,data/raw/agri_weekly_articles/article_html/2024-11-26_t20241127_8693315.html,ok,collect_date_missing
