period_key,report_period,period_type,report_year,report_month,page_url,excel_url,publish_date,publish_date_source,table_index,indicator_category,indicator_seq,indicator_name_raw,indicator_name_normalized,indicator_unit,indicator_value_raw,indicator_value,mom_raw,mom,yoy_raw,yoy,parsing_source
2021-04,2021-04,month,2021,4,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202104/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202105/P020210531528323212716.xlsx,2021-05-31,excel_url_token,3,消费,3,2021年4月出口猪肉（万吨）,2021年4月出口猪肉（万吨）,万吨,0.07,0.07,-23.1%,-0.231,-21.9%,-0.219,html_table
2021-04,2021-04,month,2021,4,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202104/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202105/P020210531528323212716.xlsx,2021-05-31,excel_url_token,3,消费,4,2021年4月出口猪杂碎（万吨）,2021年4月出口猪杂碎（万吨）,万吨,0.54,0.54,33.5%,0.335,-13.5%,-0.135,html_table
2021-04,2021-04,month,2021,4,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202104/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202105/P020210531528323212716.xlsx,2021-05-31,excel_url_token,3,消费,5,2021年1-4月累计进口猪肉（万吨）,2021年1-4月累计进口猪肉（万吨）,万吨,159.29,159.29,—,,18.1%,0.181,html_table
2021-04,2021-04,month,2021,4,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202104/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202105/P020210531528323212716.xlsx,2021-05-31,excel_url_token,3,消费,6,2021年1-4月累计进口猪杂碎（万吨）,2021年1-4月累计进口猪杂碎（万吨）,万吨,42.95,42.95,—,,1.4%,0.014,html_table
2021-04,2021-04,month,2021,4,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202104/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202105/P020210531528323212716.xlsx,2021-05-31,excel_url_token,3,消费,7,2021年1-4月累计出口猪肉（万吨）,2021年1-4月累计出口猪肉（万吨）,万吨,0.31,0.31,—,,-13.3%,-0.133,html_table
2021-04,2021-04,month,2021,4,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202104/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202105/P020210531528323212716.xlsx,2021-05-31,excel_url_token,3,消费,8,2021年1-4月累计出口猪杂碎（万吨）,2021年1-4月累计出口猪杂碎（万吨）,万吨,2.02,2.02,—,,6.8%,0.068,html_table
2021-04,2021-04,month,2021,4,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202104/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202105/P020210531528323212716.xlsx,2021-05-31,excel_url_token,4,进出口,1,2021年4月份猪粮比价,2021年4月份猪粮比价,,8.66,8.66,-11.0%,-0.11,-47.1%,-0.471,html_table
2021-04,2021-04,month,2021,4,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202104/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202105/P020210531528323212716.xlsx,2021-05-31,excel_url_token,4,进出口,2,2021年4月份散养生猪每头产值（元）,2021年4月份散养生猪每头产值（元）,元,2983.0,2983.0,-16.0%,-0.16,-28.5%,-0.285,html_table
2021-04,2021-04,month,2021,4,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202104/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202105/P020210531528323212716.xlsx,2021-05-31,excel_url_token,4,进出口,3,2021年4月份散养生猪每头成本（元）,2021年4月份散养生猪每头成本（元）,元,2811.0,2811.0,-5.4%,-0.054,7.7%,0.077,html_table
2021-04,2021-04,month,2021,4,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202104/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202105/P020210531528323212716.xlsx,2021-05-31,excel_url_token,4,进出口,4,2021年4月份散养生猪每头净利润（元）,2021年4月份散养生猪每头净利润（元）,元,172.0,172.0,-70.3%,-0.703,-89.0%,-0.89,html_table
2021-04,2021-04,month,2021,4,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202104/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202105/P020210531528323212716.xlsx,2021-05-31,excel_url_token,4,进出口,5,2021年4月份规模养殖生猪每头产值（元）,2021年4月份规模养殖生猪每头产值（元）,元,3121.0,3121.0,-15.4%,-0.154,-27.8%,-0.278,html_table
2021-04,2021-04,month,2021,4,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202104/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202105/P020210531528323212716.xlsx,2021-05-31,excel_url_token,4,进出口,6,2021年4月份规模养殖生猪每头成本（元）,2021年4月份规模养殖生猪每头成本（元）,元,2772.0,2772.0,-3.9%,-0.039,5.9%,0.059,html_table
2021-04,2021-04,month,2021,4,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202104/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202105/P020210531528323212716.xlsx,2021-05-31,excel_url_token,4,进出口,7,2021年4月份规模养殖生猪每头净利润（元）,2021年4月份规模养殖生猪每头净利润（元）,元,348.0,348.0,-56.6%,-0.566,-79.6%,-0.796,html_table
2021-05,2021-05,month,2021,5,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202105/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202106/U020210629640079928636.xlsx,2021-06-29,excel_url_token,1,生产,1,2021年5月末定点监测能繁母猪存栏变化,2021年5月末定点监测能繁母猪存栏变化,,—,,0.8%,0.008,35.7%,0.357,html_table
2021-05,2021-05,month,2021,5,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202105/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202106/U020210629640079928636.xlsx,2021-06-29,excel_url_token,1,生产,2,2021年5月份规模以上生猪定点屠宰企业屠宰量（万头）,2021年5月份规模以上生猪定点屠宰企业屠宰量（万头）,万头,1995.65,1995.65,10.6%,0.106,44.1%,0.441,html_table
2021-05,2021-05,month,2021,5,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202105/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202106/U020210629640079928636.xlsx,2021-06-29,excel_url_token,1,生产,3,2021年1-5月规模以上生猪定点屠宰企业屠宰量（万头）,2021年1-5月规模以上生猪定点屠宰企业屠宰量（万头）,万头,8685.04,8685.04,—,,40.6%,0.406,html_table
2021-05,2021-05,month,2021,5,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202105/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202106/U020210629640079928636.xlsx,2021-06-29,excel_url_token,2,价格,1,2021年5月份全国二元母猪销售价格（元/公斤）,2021年5月份全国二元母猪销售价格（元/公斤）,元/公斤,66.89,66.89,-6.5%,-0.065,-5.8%,-0.058,html_table
2021-05,2021-05,month,2021,5,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202105/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202106/U020210629640079928636.xlsx,2021-06-29,excel_url_token,2,价格,2,2021年5月份全国仔猪价格（元/公斤）,2021年5月份全国仔猪价格（元/公斤）,元/公斤,74.15,74.15,-14.9%,-0.149,-23.0%,-0.23,html_table
2021-05,2021-05,month,2021,5,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202105/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202106/U020210629640079928636.xlsx,2021-06-29,excel_url_token,2,价格,3,2021年5月份全国生猪出场价格（元/公斤）,2021年5月份全国生猪出场价格（元/公斤）,元/公斤,21.33,21.33,-13.7%,-0.137,-29.3%,-0.293,html_table
2021-05,2021-05,month,2021,5,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202105/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202106/U020210629640079928636.xlsx,2021-06-29,excel_url_token,2,价格,4,2021年5月份全国批发市场白条猪价格（元/公斤）,2021年5月份全国批发市场白条猪价格（元/公斤）,元/公斤,27.95,27.95,-13.4%,-0.134,-30.9%,-0.309,html_table
2021-05,2021-05,month,2021,5,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202105/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202106/U020210629640079928636.xlsx,2021-06-29,excel_url_token,2,价格,5,2021年5月份36个大中城市批发市场白条猪价格（元/公斤）,2021年5月份36个大中城市批发市场白条猪价格（元/公斤）,元/公斤,26.55,26.55,-15.8%,-0.158,-33.9%,-0.339,html_table
2021-05,2021-05,month,2021,5,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202105/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202106/U020210629640079928636.xlsx,2021-06-29,excel_url_token,2,价格,6,2021年5月份36个大中城市猪肉（精瘦肉）零售价格（元/公斤）,2021年5月份36个大中城市猪肉（精瘦肉）零售价格（元/公斤）,元/公斤,43.72,43.72,-9.7%,-0.097,-24.1%,-0.241,html_table
2021-05,2021-05,month,2021,5,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202105/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202106/U020210629640079928636.xlsx,2021-06-29,excel_url_token,2,价格,7,2021年5月份36个大中城市猪肉（后腿肉）零售价格（元/公斤）,2021年5月份36个大中城市猪肉（后腿肉）零售价格（元/公斤）,元/公斤,47.53,47.53,-9.6%,-0.096,-24.6%,-0.246,html_table
2021-05,2021-05,month,2021,5,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202105/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202106/U020210629640079928636.xlsx,2021-06-29,excel_url_token,2,价格,8,2021年5月份县乡集贸市场猪肉零售价格（元/公斤）,2021年5月份县乡集贸市场猪肉零售价格（元/公斤）,元/公斤,33.35,33.35,-15.7%,-0.157,-30.0%,-0.3,html_table
2021-05,2021-05,month,2021,5,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202105/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202106/U020210629640079928636.xlsx,2021-06-29,excel_url_token,3,消费,1,2021年5月进口猪肉（万吨）,2021年5月进口猪肉（万吨）,万吨,36.61,36.61,-15.3%,-0.153,-2.2%,-0.022,html_table
2021-05,2021-05,month,2021,5,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202105/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202106/U020210629640079928636.xlsx,2021-06-29,excel_url_token,3,消费,2,2021年5月进口猪杂碎（万吨）,2021年5月进口猪杂碎（万吨）,万吨,10.65,10.65,-7.6%,-0.076,-20.7%,-0.207,html_table
2021-05,2021-05,month,2021,5,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202105/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202106/U020210629640079928636.xlsx,2021-06-29,excel_url_token,3,消费,3,2021年5月出口猪肉（万吨）,2021年5月出口猪肉（万吨）,万吨,0.12,0.12,61.1%,0.611,18.8%,0.188,html_table
2021-05,2021-05,month,2021,5,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202105/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202106/U020210629640079928636.xlsx,2021-06-29,excel_url_token,3,消费,4,2021年5月出口猪杂碎（万吨）,2021年5月出口猪杂碎（万吨）,万吨,0.55,0.55,2.0%,0.02,-18.9%,-0.189,html_table
2021-05,2021-05,month,2021,5,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202105/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202106/U020210629640079928636.xlsx,2021-06-29,excel_url_token,3,消费,5,2021年1-5月累计进口猪肉（万吨）,2021年1-5月累计进口猪肉（万吨）,万吨,195.91,195.91,—,,13.7%,0.137,html_table
