period_key,report_period,period_type,report_year,report_month,page_url,excel_url,publish_date,publish_date_source,breeding_sow_inventory,breeding_sow_inventory_unit,breeding_sow_inventory_indicator_raw,breeding_sow_inventory_mom,breeding_sow_inventory_yoy,breeding_sow_inventory_period_type,hog_exfarm_price,hog_exfarm_price_unit,hog_exfarm_price_indicator_raw,hog_exfarm_price_mom,hog_exfarm_price_yoy,parsing_source,raw_html_path,raw_excel_path,validation_flag,validation_notes
2022-01,2022-01,month,2022,1,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2022/202201/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/202202/P020220225339745689065.xlsx,2022-02-25,excel_url_token,4290.0,万头,2022年1月末能繁母猪存栏（万头）,-0.009,0.02,quarter_end_stock,15.88,元/公斤,2022年1月份全国生猪出场价格（元/公斤）,-0.115,-0.559,html_table,data/raw/moa_hog_monthly/page_html/2022-01.html,data/raw/moa_hog_monthly/excel_files/2022-01.xlsx,ok,
2022-02,2022-02,month,2022,2,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2022/202202/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2022/202202/202203/P020220331526409448839.xlsx,2022-03-31,excel_url_token,4268.0,万头,2022年2月末能繁母猪存栏（万头）,-0.005,0.005,quarter_end_stock,14.16,元/公斤,2022年2月份全国生猪出场价格（元/公斤）,-0.108,-0.556,html_table,data/raw/moa_hog_monthly/page_html/2022-02.html,data/raw/moa_hog_monthly/excel_files/2022-02.xlsx,ok,
2022-03,2022-03,month,2022,3,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2022/202203/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2022/202203/202204/P020220429594795734174.xlsx,2022-04-29,excel_url_token,4185.0,万头,2022年1季度末能繁母猪存栏（万头）,-0.033,-0.031,quarter_end_stock,13.34,元/公斤,2022年3月份全国生猪出场价格（元/公斤）,-0.058,-0.537,html_table,data/raw/moa_hog_monthly/page_html/2022-03.html,data/raw/moa_hog_monthly/excel_files/2022-03.xlsx,ok,
2022-04,2022-04,month,2022,4,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2022/202204/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2022/202204/202205/P020220530453122344311.xlsx,2022-05-30,excel_url_token,4177.0,万头,2022年4月末能繁母猪存栏（万头）,-0.002,-0.043,quarter_end_stock,14.06,元/公斤,2022年4月份全国生猪出场价格（元/公斤）,0.054,-0.431,html_table,data/raw/moa_hog_monthly/page_html/2022-04.html,data/raw/moa_hog_monthly/excel_files/2022-04.xlsx,ok,
2022-05,2022-05,month,2022,5,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2022/202205/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2022/202205/202206/P020220630597553708955.xlsx,2022-06-30,excel_url_token,4192.0,万头,2022年5月末能繁母猪存栏（万头）,0.004,-0.081,quarter_end_stock,15.92,元/公斤,2022年5月份全国生猪出场价格（元/公斤）,0.132,-0.254,html_table,data/raw/moa_hog_monthly/page_html/2022-05.html,data/raw/moa_hog_monthly/excel_files/2022-05.xlsx,ok,
2022-06,2022-06,month,2022,6,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2022/202206/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2022/202206/202208/P020220803359314022731.xlsx,2022-08-03,excel_url_token,4277.0,万头,2022年2季度末能繁母猪存栏（万头）,0.022,-0.063,quarter_end_stock,17.15,元/公斤,2022年6月份全国生猪出场价格（元/公斤）,0.077,0.039,html_table,data/raw/moa_hog_monthly/page_html/2022-06.html,data/raw/moa_hog_monthly/excel_files/2022-06.xlsx,ok,
2022-07,2022-07,month,2022,7,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2022/202207/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2022/202207/202208/P020220830588865318104.xlsx,2022-08-30,excel_url_token,4298.0,万头,2022年7月末能繁母猪存栏（万头）,0.005,-0.053,quarter_end_stock,22.55,元/公斤,2022年7月份全国生猪出场价格（元/公斤）,0.315,0.372,html_table,data/raw/moa_hog_monthly/page_html/2022-07.html,data/raw/moa_hog_monthly/excel_files/2022-07.xlsx,ok,
2022-08,2022-08,month,2022,8,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2022/202208/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2022/202208/202209/P020220929593684437346.xlsx,2022-09-29,excel_url_token,4324.0,万头,2022年8月末能繁母猪存栏（万头）,0.006,-0.048,quarter_end_stock,22.32,元/公斤,2022年8月份全国生猪出场价格（元/公斤）,-0.01,0.404,html_table,data/raw/moa_hog_monthly/page_html/2022-08.html,data/raw/moa_hog_monthly/excel_files/2022-08.xlsx,ok,
2022-09,2022-09,month,2022,9,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2022/202209/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2022/202209/202210/P020221031510021604999.xlsx,2022-10-31,excel_url_token,4362.0,万头,2022年3季度末能繁母猪存栏（万头）,0.02,-0.022,quarter_end_stock,24.12,元/公斤,2022年9月份全国生猪出场价格（元/公斤）,0.081,0.737,html_table,data/raw/moa_hog_monthly/page_html/2022-09.html,data/raw/moa_hog_monthly/excel_files/2022-09.xlsx,ok,
2022-10,2022-10,month,2022,10,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2022/202210/,https://www.moa.gov.cn/ztzl/szcpxx/jdsj/2022/202210/202211/P020221130553313403358.xlsx,2022-11-30,excel_url_token,4379.0,万头,2022年10月末能繁母猪存栏（万头）,0.004,0.007,quarter_end_stock,27.39,元/公斤,2022年10月份全国生猪出场价格（元/公斤）,0.136,0.913,html_table,data/raw/moa_hog_monthly/page_html/2022-10.html,data/raw/moa_hog_monthly/excel_files/2022-10.xlsx,ok,
