search_keyword,search_page_no,article_id,article_url,title,publish_datetime,province,product_name,avg_price,avg_price_unit,last_year_price,last_year_price_unit,mom_pct,yoy_pct,raw_html_path,parsing_method,validation_flag,validation_notes
河南省瘦肉型肉猪(110kg左右)价格,2,515029,https://www.soozhu.com/article/515029/,2026.2.26河南省瘦肉型肉猪(110kg左右)价格,2026-02-26 10:30,河南省,瘦肉型肉猪(110kg左右),10.68,元/公斤,14.54,元/公斤,-0.0027,,data/raw/soozhu_henan_hog_daily/article_html/2026-02-26_10-30_515029.html,html_text,ok,yoy_pct_not_displayed_on_page
河南省瘦肉型肉猪(110kg左右)价格,2,514998,https://www.soozhu.com/article/514998/,2026.2.25河南省瘦肉型肉猪(110kg左右)价格,2026-02-25 10:30,河南省,瘦肉型肉猪(110kg左右),10.73,元/公斤,14.51,元/公斤,-0.0026,,data/raw/soozhu_henan_hog_daily/article_html/2026-02-25_10-30_514998.html,html_text,ok,yoy_pct_not_displayed_on_page
河南省瘦肉型肉猪(110kg左右)价格,2,514958,https://www.soozhu.com/article/514958/,2026.2.24河南省瘦肉型肉猪(110kg左右)价格,2026-02-24 10:30,河南省,瘦肉型肉猪(110kg左右),11.2,元/公斤,14.59,元/公斤,-0.0023,,data/raw/soozhu_henan_hog_daily/article_html/2026-02-24_10-30_514958.html,html_text,ok,yoy_pct_not_displayed_on_page
河南省瘦肉型肉猪(110kg左右)价格,2,514803,https://www.soozhu.com/article/514803/,2026.2.13河南省瘦肉型肉猪(110kg左右)价格,2026-02-13 10:30,河南省,瘦肉型肉猪(110kg左右),11.8,元/公斤,14.67,元/公斤,-0.002,,data/raw/soozhu_henan_hog_daily/article_html/2026-02-13_10-30_514803.html,html_text,ok,yoy_pct_not_displayed_on_page
河南省瘦肉型肉猪(110kg左右)价格,2,514760,https://www.soozhu.com/article/514760/,2026.2.12河南省瘦肉型肉猪(110kg左右)价格,2026-02-12 10:30,河南省,瘦肉型肉猪(110kg左右),11.75,元/公斤,14.54,元/公斤,-0.0019,,data/raw/soozhu_henan_hog_daily/article_html/2026-02-12_10-30_514760.html,html_text,ok,yoy_pct_not_displayed_on_page
河南省瘦肉型肉猪(110kg左右)价格,2,514723,https://www.soozhu.com/article/514723/,2026.2.11河南省瘦肉型肉猪(110kg左右)价格,2026-02-11 10:30,河南省,瘦肉型肉猪(110kg左右),11.87,元/公斤,14.6,元/公斤,-0.0019,,data/raw/soozhu_henan_hog_daily/article_html/2026-02-11_10-30_514723.html,html_text,ok,yoy_pct_not_displayed_on_page
河南省瘦肉型肉猪(110kg左右)价格,2,514683,https://www.soozhu.com/article/514683/,2026.2.10河南省瘦肉型肉猪(110kg左右)价格,2026-02-10 10:30,河南省,瘦肉型肉猪(110kg左右),12.3,元/公斤,14.61,元/公斤,-0.0016,,data/raw/soozhu_henan_hog_daily/article_html/2026-02-10_10-30_514683.html,html_text,ok,yoy_pct_not_displayed_on_page
河南省瘦肉型肉猪(110kg左右)价格,2,514645,https://www.soozhu.com/article/514645/,2026.2.9河南省瘦肉型肉猪(110kg左右)价格,2026-02-09 10:30,河南省,瘦肉型肉猪(110kg左右),12.15,元/公斤,14.38,元/公斤,-0.0016,,data/raw/soozhu_henan_hog_daily/article_html/2026-02-09_10-30_514645.html,html_text,ok,yoy_pct_not_displayed_on_page
河南省瘦肉型肉猪(110kg左右)价格,2,514582,https://www.soozhu.com/article/514582/,2026.2.6河南省瘦肉型肉猪(110kg左右)价格,2026-02-06 10:30,河南省,瘦肉型肉猪(110kg左右),12.2,元/公斤,15.64,元/公斤,-0.0022,,data/raw/soozhu_henan_hog_daily/article_html/2026-02-06_10-30_514582.html,html_text,ok,yoy_pct_not_displayed_on_page
河南省瘦肉型肉猪(110kg左右)价格,2,514532,https://www.soozhu.com/article/514532/,2026.2.5河南省瘦肉型肉猪(110kg左右)价格,2026-02-05 10:30,河南省,瘦肉型肉猪(110kg左右),12.26,元/公斤,15.85,元/公斤,-0.0023,,data/raw/soozhu_henan_hog_daily/article_html/2026-02-05_10-30_514532.html,html_text,ok,yoy_pct_not_displayed_on_page
河南省瘦肉型肉猪(110kg左右)价格,2,514488,https://www.soozhu.com/article/514488/,2026.2.4河南省瘦肉型肉猪(110kg左右)价格,2026-02-04 10:30,河南省,瘦肉型肉猪(110kg左右),,,,,,,data/raw/soozhu_henan_hog_daily/article_html/2026-02-04_10-30_514488.html,html_text,missing_key_metrics,"missing:avg_price,last_year_price,mom_pct; yoy_pct_not_displayed_on_page"
河南省瘦肉型肉猪(110kg左右)价格,2,514444,https://www.soozhu.com/article/514444/,2026.2.3河南省瘦肉型肉猪(110kg左右)价格,2026-02-03 10:30,河南省,瘦肉型肉猪(110kg左右),,,,,,,data/raw/soozhu_henan_hog_daily/article_html/2026-02-03_10-30_514444.html,html_text,missing_key_metrics,"missing:avg_price,last_year_price,mom_pct; yoy_pct_not_displayed_on_page"
河南省瘦肉型肉猪(110kg左右)价格,2,514342,https://www.soozhu.com/article/514342/,2026.1.30河南省瘦肉型肉猪(110kg左右)价格,2026-01-30 10:30,河南省,瘦肉型肉猪(110kg左右),,,,,,,data/raw/soozhu_henan_hog_daily/article_html/2026-01-30_10-30_514342.html,html_text,missing_key_metrics,"missing:avg_price,last_year_price,mom_pct; yoy_pct_not_displayed_on_page"
河南省瘦肉型肉猪(110kg左右)价格,2,514294,https://www.soozhu.com/article/514294/,2026.1.29河南省瘦肉型肉猪(110kg左右)价格,2026-01-29 10:30,河南省,瘦肉型肉猪(110kg左右),,,,,,,data/raw/soozhu_henan_hog_daily/article_html/2026-01-29_10-30_514294.html,html_text,missing_key_metrics,"missing:avg_price,last_year_price,mom_pct; yoy_pct_not_displayed_on_page"
河南省瘦肉型肉猪(110kg左右)价格,2,514243,https://www.soozhu.com/article/514243/,2026.1.28河南省瘦肉型肉猪(110kg左右)价格,2026-01-28 10:30,河南省,瘦肉型肉猪(110kg左右),,,,,,,data/raw/soozhu_henan_hog_daily/article_html/2026-01-28_10-30_514243.html,html_text,missing_key_metrics,"missing:avg_price,last_year_price,mom_pct; yoy_pct_not_displayed_on_page"
河南省瘦肉型肉猪(110kg左右)价格,3,514191,https://www.soozhu.com/article/514191/,2026.1.27河南省瘦肉型肉猪(110kg左右)价格,2026-01-27 10:30,河南省,瘦肉型肉猪(110kg左右),13.14,元/公斤,16.1,元/公斤,-0.0018,,data/raw/soozhu_henan_hog_daily/article_html/2026-01-27_10-30_514191.html,html_text,ok,yoy_pct_not_displayed_on_page
河南省瘦肉型肉猪(110kg左右)价格,3,514085,https://www.soozhu.com/article/514085/,2026.1.23河南省瘦肉型肉猪(110kg左右)价格,2026-01-23 10:30,河南省,瘦肉型肉猪(110kg左右),13.27,元/公斤,15.93,元/公斤,-0.0017,,data/raw/soozhu_henan_hog_daily/article_html/2026-01-23_10-30_514085.html,html_text,ok,yoy_pct_not_displayed_on_page
河南省瘦肉型肉猪(110kg左右)价格,3,514032,https://www.soozhu.com/article/514032/,2026.1.22河南省瘦肉型肉猪(110kg左右)价格,2026-01-22 10:30,河南省,瘦肉型肉猪(110kg左右),13.13,元/公斤,15.56,元/公斤,-0.0016,,data/raw/soozhu_henan_hog_daily/article_html/2026-01-22_10-30_514032.html,html_text,ok,yoy_pct_not_displayed_on_page
河南省瘦肉型肉猪(110kg左右)价格,3,513978,https://www.soozhu.com/article/513978/,2026.1.20河南省瘦肉型肉猪(110kg左右)价格,2026-01-20 10:30,河南省,瘦肉型肉猪(110kg左右),13.7,元/公斤,15.85,元/公斤,-0.0014,,data/raw/soozhu_henan_hog_daily/article_html/2026-01-20_10-30_513978.html,html_text,ok,yoy_pct_not_displayed_on_page
河南省瘦肉型肉猪(110kg左右)价格,3,513929,https://www.soozhu.com/article/513929/,2026.1.19河南省瘦肉型肉猪(110kg左右)价格,2026-01-19 10:31,河南省,瘦肉型肉猪(110kg左右),13.6,元/公斤,15.84,元/公斤,-0.0014,,data/raw/soozhu_henan_hog_daily/article_html/2026-01-19_10-31_513929.html,html_text,ok,yoy_pct_not_displayed_on_page
河南省瘦肉型肉猪(110kg左右)价格,3,513863,https://www.soozhu.com/article/513863/,2026.1.16河南省瘦肉型肉猪(110kg左右)价格,2026-01-16 10:30,河南省,瘦肉型肉猪(110kg左右),12.59,元/公斤,16.01,元/公斤,-0.0021,,data/raw/soozhu_henan_hog_daily/article_html/2026-01-16_10-30_513863.html,html_text,ok,yoy_pct_not_displayed_on_page
河南省瘦肉型肉猪(110kg左右)价格,3,513825,https://www.soozhu.com/article/513825/,2026.1.15河南省瘦肉型肉猪(110kg左右)价格,2026-01-15 10:30,河南省,瘦肉型肉猪(110kg左右),12.5,元/公斤,16.09,元/公斤,-0.0022,,data/raw/soozhu_henan_hog_daily/article_html/2026-01-15_10-30_513825.html,html_text,ok,yoy_pct_not_displayed_on_page
河南省瘦肉型肉猪(110kg左右)价格,3,513793,https://www.soozhu.com/article/513793/,2026.1.14河南省瘦肉型肉猪(110kg左右)价格,2026-01-14 10:30,河南省,瘦肉型肉猪(110kg左右),12.73,元/公斤,15.94,元/公斤,-0.002,,data/raw/soozhu_henan_hog_daily/article_html/2026-01-14_10-30_513793.html,html_text,ok,yoy_pct_not_displayed_on_page
河南省瘦肉型肉猪(110kg左右)价格,3,513753,https://www.soozhu.com/article/513753/,2026.1.13河南省瘦肉型肉猪(110kg左右)价格,2026-01-13 10:30,河南省,瘦肉型肉猪(110kg左右),12.45,元/公斤,15.94,元/公斤,-0.0022,,data/raw/soozhu_henan_hog_daily/article_html/2026-01-13_10-30_513753.html,html_text,ok,yoy_pct_not_displayed_on_page
河南省瘦肉型肉猪(110kg左右)价格,3,513666,https://www.soozhu.com/article/513666/,2026.1.9河南省瘦肉型肉猪(110kg左右)价格,2026-01-09 10:30,河南省,瘦肉型肉猪(110kg左右),12.43,元/公斤,16.26,元/公斤,-0.0024,,data/raw/soozhu_henan_hog_daily/article_html/2026-01-09_10-30_513666.html,html_text,ok,yoy_pct_not_displayed_on_page
河南省瘦肉型肉猪(110kg左右)价格,3,513618,https://www.soozhu.com/article/513618/,2026.1.8河南省瘦肉型肉猪(110kg左右)价格,2026-01-08 10:30,河南省,瘦肉型肉猪(110kg左右),12.53,元/公斤,16.05,元/公斤,-0.0022,,data/raw/soozhu_henan_hog_daily/article_html/2026-01-08_10-30_513618.html,html_text,ok,yoy_pct_not_displayed_on_page
河南省瘦肉型肉猪(110kg左右)价格,3,513576,https://www.soozhu.com/article/513576/,2026.1.7河南省瘦肉型肉猪(110kg左右)价格,2026-01-07 10:30,河南省,瘦肉型肉猪(110kg左右),12.5,元/公斤,16.09,元/公斤,-0.0022,,data/raw/soozhu_henan_hog_daily/article_html/2026-01-07_10-30_513576.html,html_text,ok,yoy_pct_not_displayed_on_page
河南省瘦肉型肉猪(110kg左右)价格,3,513532,https://www.soozhu.com/article/513532/,2026.1.6河南省瘦肉型肉猪(110kg左右)价格,2026-01-06 10:30,河南省,瘦肉型肉猪(110kg左右),12.6,元/公斤,16.46,元/公斤,-0.0023,,data/raw/soozhu_henan_hog_daily/article_html/2026-01-06_10-30_513532.html,html_text,ok,yoy_pct_not_displayed_on_page
河南省瘦肉型肉猪(110kg左右)价格,3,513487,https://www.soozhu.com/article/513487/,2026.1.5河南省瘦肉型肉猪(110kg左右)价格,2026-01-05 10:30,河南省,瘦肉型肉猪(110kg左右),12.4,元/公斤,16.52,元/公斤,-0.0025,,data/raw/soozhu_henan_hog_daily/article_html/2026-01-05_10-30_513487.html,html_text,ok,yoy_pct_not_displayed_on_page
河南省瘦肉型肉猪(110kg左右)价格,3,513383,https://www.soozhu.com/article/513383/,2025.12.31河南省瘦肉型肉猪(110kg左右)价格,2025-12-31 10:30,河南省,瘦肉型肉猪(110kg左右),11.94,元/公斤,15.6,元/公斤,-0.0024,,data/raw/soozhu_henan_hog_daily/article_html/2025-12-31_10-30_513383.html,html_text,ok,yoy_pct_not_displayed_on_page
河南省瘦肉型肉猪(110kg左右)价格,3,513349,https://www.soozhu.com/article/513349/,2025.12.30河南省瘦肉型肉猪(110kg左右)价格,2025-12-30 10:30,河南省,瘦肉型肉猪(110kg左右),12.18,元/公斤,15.61,元/公斤,-0.0022,,data/raw/soozhu_henan_hog_daily/article_html/2025-12-30_10-30_513349.html,html_text,ok,yoy_pct_not_displayed_on_page
河南省瘦肉型肉猪(110kg左右)价格,3,513304,https://www.soozhu.com/article/513304/,2025.12.29河南省瘦肉型肉猪(110kg左右)价格,2025-12-29 10:30,河南省,瘦肉型肉猪(110kg左右),12.3,元/公斤,15.78,元/公斤,-0.0022,,data/raw/soozhu_henan_hog_daily/article_html/2025-12-29_10-30_513304.html,html_text,ok,yoy_pct_not_displayed_on_page
